re,re_index,ion_type,pos,charge,base_ion_spec,truth,candidate_group,in_manual_annotation,in_fragments_selected,manual_row_count,manual_matched_rows,manual_selected_rows,manual_labels_json,manual_best_ion_score,manual_best_gof_confidence,manual_best_peaks_matched,manual_best_ion_corr_score,manual_min_abs_ppm_error,fragments_status,fragments_stage,fragments_label,fragments_variant_suffix,fragments_score,fragments_css,fragments_rawcos,fragments_coverage,fragments_match_count,fragments_unexplained,fragments_missing_core,fragments_interference,fragments_s2n,fragments_ppm_rmse,fragments_fit_score,fragments_correlation,fragments_pc_missing_peaks,fragments_mass_error_std,fragments_obs_rel_int,fragments_abs_anchor_ppm,fragments_raw_candidate,fragments_selected_final,diagnose_best_label,diagnose_reason,diagnose_ok,diagnose_isodec_accepted,diagnose_final_cosine,diagnose_isodec_css,diagnose_raw_cosine,diagnose_abs_anchor_ppm,diagnose_matched_peaks,diagnose_area_covered,diagnose_top_peaks,diagnose_anchor_within_ppm
RE0,0,c,13,2,c13^2+,0,fp_selected,1,1,1,0,0,"[""c13 2+""]",0.8,0.0,1.0,0.0,9.41,selected_final,accepted,c13-OxidizedLoop^2+ | -2.0 ppm | score=0.524 | css=0.919,-OxidizedLoop,0.5239845293679373,0.9190689014599653,0.9190689014599653,0.7658587108298348,3.0,0.6510015056805221,0.18082056325129292,0.5753622383833897,0.8480217983303628,1.0013592386543873,0.6910341350508746,0.8535518342382943,50.0,2.584397543800836,0.00020075207468879668,1.9719598204420876,1,1,c13-OxidizedLoop^2+,ok,1,1,0.9190689014599653,0.9190689014599653,0.9190689014599653,1.9719598204420876,3.0,0.31276416893907383,0.0,1
RE0,0,c,14,1,c14^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c14-OxidizedLoop^1+ | -8.8 ppm | score=0.419 | css=0.892,-OxidizedLoop,0.41949482342807487,0.8918589366875171,0.8323094283355127,0.7263172541729913,2.0,0.5701012112161938,0.19268351754587587,0.9522379585644474,1.458313751292415,15.2520457871581,0.5404014384305531,0.8531873635189391,66.66666666666666,10.166092059175666,0.0008047199170124481,8.828472798749543,1,1,c14-OxidizedLoop^1+,ok,1,1,0.8918589366875171,0.8918589366875171,0.8323094283355127,8.828472798749543,2.0,0.4574698274431724,0.0,1
RE0,0,c,14,2,c14^2+,1,tp_selected,1,1,2,2,0,"[""c14 2+""]",5.562,96.0,2.0,4.497,3.96,selected_final,accepted,c14-OxidizedLoop^2+ | -8.6 ppm | score=0.644 | css=0.945,-OxidizedLoop,0.6438678698141175,0.9445064379473145,0.9445064379473143,0.8996685562087039,3.0,0.3592541162467765,0.0,0.1907015590200447,1.5837023396344858,7.740859442468606,0.656945299432197,0.9160014094309863,50.0,5.175660054603651,0.00028786307053941905,8.615399090764623,1,1,c14-OxidizedLoop^2+,ok,1,1,0.9445064379473145,0.9445064379473145,0.9445064379473143,8.615399090764623,3.0,0.5385571790815316,1.0,1
RE0,0,c,17,2,c17^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c17-OxidizedLoop^2+ | 3.2 ppm | score=0.508 | css=0.769,-OxidizedLoop,0.5080965365580672,0.7694973074762346,0.7694973074762346,0.7426426155027889,3.0,0.3244018895717986,0.24140099849202123,0.07358779689350137,1.694955945611826,4.179043416284089,0.34167104380522345,0.6512900166970188,57.14285714285714,5.445094740442866,0.00044683609958506224,3.2461637981085087,1,1,c17-OxidizedLoop^2+,ok,1,1,0.7694973074762346,0.7694973074762346,0.7694973074762346,3.2461637981085087,3.0,0.9994836292925171,0.0,1
RE0,0,c,20,1,c20^1+,0,manual_negative_only,1,0,1,0,0,"[""c20 1+""]",0.0,0.0,2.0,0.0,3.16,trace_only,quality_gates,c20-OxidizedLoop^1+,-OxidizedLoop,0.46695887717903334,0.8377678289582089,0.4209499783476566,0.9948062371962794,6.0,0.773,0.0,0.787,1.27,9.47,0.754,,14.3,,0.00023065352697095436,26.533060341554492,0,0,c20-OxidizedLoop^1+,ok,1,1,0.7479516311683686,0.7479516311683686,0.7165384457587334,12.681271614520663,5.0,0.10855290743550343,0.0,1
RE0,0,c,20,2,c20^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c20-OxidizedLoop^2+ | -6.3 ppm | score=0.638 | css=0.973,-OxidizedLoop,0.6382471175099838,0.9725430515055523,0.9725430515055525,1.0,7.0,0.6152092511013215,0.0,0.5266423703783987,0.8821884431946705,10.306373194937299,0.825687042884257,0.9496488724947382,0.0,8.324478263970267,0.00022691908713692947,6.323580674140036,1,1,c20-OxidizedLoop^2+,ok,1,1,0.9725430515055523,0.9725430515055523,0.9725430515055525,6.323580674140036,7.0,0.3027080973757143,0.0,1
RE0,0,c,21,2,c21^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c21-OxidizedLoop^2+ | 4.5 ppm | score=0.500 | css=0.921,-OxidizedLoop,0.4998429317721675,0.9208093262750127,0.9208093262750123,0.9222699591662841,4.0,0.6461183261183261,0.0,0.1622027876468981,0.7363037601796752,8.831494423028754,0.6225967650080199,0.8201031684258997,42.857142857142854,10.740617423510736,0.00011021784232365145,4.5140063178136485,1,1,c21-OxidizedLoop^2+,ok,1,1,0.9208093262750127,0.9208093262750127,0.9208093262750123,4.5140063178136485,4.0,0.179820105365603,0.0,1
RE0,0,c,24,3,c24^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c24-OxidizedLoop^3+ | 2.2 ppm | score=0.353 | css=0.791 | %H=46 | %2H=0 | +mix,-OxidizedLoop,0.3534773091365702,0.7910554870846225,0.5208723684647463,0.4305739081054016,3.0,0.5876427342405757,0.0,0.2256036660595735,0.5634145806979135,7.000215244278699,0.2541104395946573,0.6980125199454438,78.57142857142857,7.221697625241495,0.00011517116182572613,2.1814687371787187,1,1,c24-OxidizedLoop^3+,ok,1,1,0.8023681289508916,0.8023681289508916,0.8023681289508916,2.1814687371787187,2.0,0.2511307521019501,0.0,1
RE0,0,c,25,1,c25^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c25-OxidizedLoop^1+ | -15.1 ppm | score=0.510 | css=0.813 | %H=20 | %2H=80 | -mix,-OxidizedLoop,0.5096274924638107,0.8131890607597053,0.6947695062552233,0.7114574704907947,4.0,0.5528398639986623,0.0,0.5168914850054197,1.0375826661865246,2.8406042738872403,0.575806645422659,0.916588916497502,71.42857142857143,3.027033045274895,0.00014214211618257262,15.072595010672238,1,1,c25-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.5643577898271177,0.7713909373658274,14.603937489458534,2.0,0.19702640527197515,0.0,1
RE0,0,c,36,2,c36^2+,1,fn_missed,1,0,1,1,0,"[""c36 2+""]",2.485,54.39,8.0,4.265,2.4,trace_only,isodec_rules,c36-OxidizedLoop^2+,-OxidizedLoop,,0.5898864356297916,0.536088605105569,,,,,,,,,,,,,4.626336760475499,0,0,c36-OxidizedLoop^2+,ok,1,1,0.8159139255012531,0.8159139255012531,0.8116416623789201,15.196304518598259,9.0,0.06677159131411112,1.0,1
RE0,0,c,36,3,c36^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c36-OxidizedLoop^3+ | 3.5 ppm | score=0.590 | css=0.772,-OxidizedLoop,0.5895923918629766,0.7722671499317633,0.7957419156362434,1.0,9.0,0.546266248004631,0.0,0.4407512576214019,1.6064100288309684,6.764957503212651,0.5779952619135261,0.29638034616143766,0.0,6.996144998434378,0.00045487551867219914,3.450396300331205,1,1,c36-OxidizedLoop^3+,ok,1,1,0.7722671499317633,0.7722671499317633,0.7957419156362434,3.450396300331205,9.0,0.41467063571427965,0.0,1
RE3,3,b,35,3,b35^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b35-OxidizedLoop^3+ | -1.5 ppm | score=0.652 | css=0.882,-OxidizedLoop,0.6523919273907479,0.8817660847975272,0.912266886191004,0.9334942609665939,7.0,0.48421178296424516,0.0,0.16454419889502747,0.7579304321431624,4.230812877331151,0.7056553507110637,0.7741266968977406,22.22222222222222,4.072559610740102,0.00018297443646895855,1.467642482647219,1,1,b35-OxidizedLoop^3+,ok,1,1,0.8817660847975272,0.8817660847975272,0.912266886191004,1.467642482647219,7.0,0.4650766902740261,1.0,1
RE3,3,b,36,3,b36^3+,0,manual_negative_only,1,0,1,0,0,"[""b36 3+""]",0.119,33.16,4.0,-0.708,2.24,trace_only,isodec_rules,b36-OxidizedLoop^3+,-OxidizedLoop,,0.5316706044042945,0.5815780693652756,,,,,,,,,,,,,7.475535805616591,0,0,b36-OxidizedLoop^3+,failed_isodec_rules,0,0,,0.5316706044042945,0.5815780693652756,7.475535805616591,7.0,0.07311133897308741,0.0,1
RE3,3,c,3,1,c3^1+,1,tp_selected,1,1,1,1,1,"[""c3 1+""]",4.099,99.97,3.0,2.213,3.42,selected_final,accepted,c3^1+ | 0.8 ppm | score=0.814 | css=0.984,-Thiol,0.8142881548506419,0.9838095270287631,0.9976452659607636,1.0,3.0,0.17060214082711356,0.0,0.06896448910223918,1.4195734993346862,6.559193554878317,0.9642065669401761,0.9972809412151906,0.0,12.283033705544419,0.0003003400075557235,0.8232811779495586,1,1,c3^1+,ok,1,1,0.9838095270287631,0.9838095270287631,0.9976452659607636,0.8232811779495586,3.0,0.7891231315871604,0.0,1
RE3,3,c,5,1,c5^1+,1,tp_selected,1,1,1,1,0,"[""c5 1+""]",3.948,99.4,3.0,2.307,5.11,selected_final,accepted,c5-ThiylRadical^1+ | -11.4 ppm | score=0.674 | css=0.996 | %H=100 | %2H=0 | -mix,-ThiylRadical,0.6744403568863071,0.9962912093060587,0.5886730919653812,0.9870165471673364,3.0,0.4449032160309103,0.0,0.21329253234551993,0.619839425016727,10.500570415627456,0.9008203441422982,0.9938779345395334,25.0,10.03332683475756,0.0001388993829492507,11.424272361552113,1,1,c5-ThiylRadical^1+,failed_isodec_rules,0,0,,0.39402979977620634,0.39402979977620645,3.7962776331751398,3.0,0.12444940880436636,0.0,1
RE3,3,c,6,1,c6^1+,1,tp_selected,1,1,1,1,1,"[""c6 1+""]",2.288,98.06,4.0,2.353,4.61,selected_final,accepted,c6-Persulfide^1+ | 2.3 ppm | score=0.766 | css=0.989 | %H=100 | %2H=0 | -mix,-Persulfide,0.7660594140809658,0.9891423019624062,0.6879996000716925,0.9745052473677356,3.0,0.43648785750061014,0.0,0.27361067425960583,1.7928322554739793,0.5109114870985728,0.858944161244537,0.9950403489744009,25.0,0.6267396486260924,0.0004153129328799899,2.298891344201984,1,1,c6^1+,ok,1,1,0.9777974433512743,0.9777974433512743,0.9853696013030111,7.587456452335329,3.0,0.7596805612127117,0.0,1
RE3,3,c,7,1,c7^1+,1,tp_selected,1,1,1,1,0,"[""c7 1+""]",10.344,99.98,4.0,6.232,1.09,selected_final,accepted,c7-OxidizedLoop^1+ | 1.3 ppm | score=0.837 | css=0.983,-OxidizedLoop,0.8366035802618464,0.9825511691765365,0.9985144102575149,0.9930314320532885,4.0,0.16981232341661723,0.0,0.07947793807143477,2.9847001710318066,2.7276668180960875,0.9349272142290371,0.9983707871102053,20.0,6.768956799366836,0.0007007933509633547,1.3481495858815429,1,1,c7-OxidizedLoop^1+,ok,1,1,0.9825511691765365,0.9825511691765365,0.9985144102575149,1.3481495858815429,4.0,0.7777187625689773,1.0,1
RE3,3,c,8,1,c8^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c8-OxidizedLoop^1+ | -1.7 ppm | score=0.620 | css=0.897 | %H=100 | %2H=0 | -mix,-OxidizedLoop,0.6199536881397525,0.8970145591001982,0.5465743870461115,0.9919781189514284,4.0,0.6277952380168824,0.0,0.5923810210296794,0.4026911382380709,5.963983513487231,0.761941302584605,0.9365440749073944,20.0,3.9161106552918574,9.559249464802922e-05,1.6647328514303872,1,1,c8-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.647750929769156,0.8935349640934609,3.933968609111548,3.0,0.18242747351918265,0.0,1
RE3,3,c,9,1,c9^1+,1,tp_selected,1,1,1,1,1,"[""c9 1+""]",5.741,99.87,3.0,4.251,5.24,selected_final,accepted,c9-OxidizedLoop^1+ | 3.1 ppm | score=0.728 | css=0.984,-OxidizedLoop,0.7278814727099776,0.9842928374305852,0.9842928374305853,0.9902952053657548,4.0,0.4030881146247557,0.0,0.4030881146247557,1.6820943067091692,4.814692278840771,0.7867262709010038,0.9849967857684467,20.0,6.216610038124584,0.0004039793476892079,3.0800808969961126,1,1,c9-OxidizedLoop^1+,ok,1,1,0.9842928374305852,0.9842928374305852,0.9842928374305853,3.0800808969961126,4.0,0.7277690450100021,0.0,1
RE3,3,c,10,1,c10^1+,1,tp_selected,1,1,1,1,1,"[""c10 1+""]",15.676,99.99,3.0,9.185,2.99,selected_final,accepted,c10-OxidizedLoop^1+ | 3.7 ppm | score=0.917 | css=0.994,-OxidizedLoop,0.9165189728263414,0.9941709958650071,0.9965008457428185,1.0,5.0,0.15120766038959776,0.0,0.09714882847367656,40.32604709987749,1.7014938516192002,0.9059825559653766,0.9971589726194385,0.0,1.6163309953520675,0.009764513285480418,3.650892773228345,1,1,c10-OxidizedLoop^1+,ok,1,1,0.9941709958650071,0.9941709958650071,0.9965008457428185,3.650892773228345,5.0,0.9325234048789931,1.0,1
RE3,3,c,14,2,c14^2+,1,tp_selected,1,1,1,1,1,"[""c14 2+""]",2.297,96.0,2.0,1.565,3.96,selected_final,accepted,c14-OxidizedLoop^2+ | -7.0 ppm | score=0.477 | css=0.838,-OxidizedLoop,0.47661364898220127,0.837887996460931,0.837887996460931,0.993488298243516,5.0,0.6888082444462267,0.0,0.4009533182809394,0.6586818438968555,9.274385547390757,0.6402457822676159,0.6364957150891891,16.666666666666664,4.915947750823242,7.308903160810981e-05,6.966893643441473,1,1,c14-OxidizedLoop^2+,ok,1,1,0.837887996460931,0.837887996460931,0.837887996460931,6.966893643441473,5.0,0.14143407472797379,0.0,1
RE3,3,c,15,2,c15^2+,1,tp_selected,1,1,1,1,1,"[""c15 2+""]",1.788,59.09,2.0,0.976,8.11,selected_final,accepted,c15-OxidizedLoop^2+ | -4.0 ppm | score=0.481 | css=0.870,-OxidizedLoop,0.48057302786084033,0.8698657632159768,0.8698657632159768,0.6923087237703696,2.0,0.5706936116662965,0.21397874109620796,0.23585216417418797,0.3918941778217585,1.9669887812119746,0.49830710707453546,0.8309774802011171,66.66666666666666,1.3490553515811792,9.336355622717541e-05,3.96443747140283,1,1,c15-OxidizedLoop^2+,ok,1,1,0.8698657632159768,0.8698657632159768,0.8698657632159768,3.96443747140283,2.0,0.5163154822710785,0.0,1
RE3,3,c,17,2,c17^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c17-OxidizedLoop^2+ | 3.0 ppm | score=0.399 | css=0.736 | %H=29 | %2H=0 | +mix,-OxidizedLoop,0.3992863045117936,0.7360661143043495,0.4734739660401345,0.6961764356794291,5.0,0.606114644533243,0.0,0.34277959472672714,0.6113966163795601,3.1760446066619683,0.4915716670236546,0.6528932470982758,61.53846153846154,4.676864546793884,6.048356630147336e-05,3.033509766187801,1,1,c17-OxidizedLoop^2+,ok,1,1,0.716037477504294,0.716037477504294,0.8416326713301076,3.033509766187801,5.0,0.1837503095094301,0.0,1
RE3,3,c,18,2,c18^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c18-OxidizedLoop^2+ | -7.6 ppm | score=0.531 | css=0.793 | %H=27 | %2H=0 | +mix,-OxidizedLoop,0.5312788395773205,0.7925658220916311,0.527611132564528,0.7232013400543245,6.0,0.4157589707756175,0.0,0.2391912325540939,0.6386484363804769,5.632082372299315,0.5572628219292417,0.620848007626605,53.84615384615385,6.630708921399179,0.00013612895101372625,7.634108257466576,1,1,c18-OxidizedLoop^2+,ok,1,1,0.8469300986827498,0.8469300986827498,0.8469300986827499,7.634108257466576,6.0,0.33861344331899196,1.0,1
RE3,3,c,19,2,c19^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c19-OxidizedLoop^2+ | -7.2 ppm | score=0.204 | css=0.867 | %H=58 | %2H=0 | +mix,-OxidizedLoop,0.2042108948583723,0.866954667398899,0.5323891411417457,0.5612423230373439,6.0,0.696287583957404,0.3825158904044791,0.5431175481504127,0.3609070771711928,18.353306681859188,0.2873833094296687,0.23348518064317936,57.14285714285714,14.600900190009888,5.664274020904168e-05,7.174440042586034,1,1,c19-OxidizedLoop^2+,ok,1,1,0.7452959686414165,0.7452959686414165,0.8562084339187349,27.093501549276446,4.0,0.19077684280939186,0.0,1
RE3,3,c,21,2,c21^2+,1,fn_missed,1,0,1,1,1,"[""c21 2+""]",2.203,96.69,3.0,1.633,5.06,trace_only,isodec_rules,c21-OxidizedLoop^2+,-OxidizedLoop,,0.5355883455029845,0.5414230238084117,,,,,,,,,,,,,9.361901671262837,0,0,c21-OxidizedLoop^2+,ok,1,1,0.8728909652943713,0.8728909652943713,0.9251758048865886,6.682116940946633,6.0,0.3567509572732667,0.0,1
RE3,3,c,24,1,c24^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c24-OxidizedLoop^1+ | 6.5 ppm | score=0.577 | css=0.820 | %H=100 | %2H=0 | -mix,-OxidizedLoop,0.5770324856843283,0.8197449643481601,0.4716460476490087,0.9907865367036399,6.0,0.6964933270591639,0.0,0.6980700665354465,324.4146154096861,3.223086069756624,0.412026781285085,0.7888628409488425,14.285714285714285,4.274905531577141,0.036040800906686814,6.543176778081113,1,1,c24-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.6003319625624173,0.6003818861782114,4.605301671203724,6.0,0.25341091357246665,0.0,1
RE3,3,c,26,3,c26^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c26-OxidizedLoop^3+ | -4.7 ppm | score=0.331 | css=0.765,-OxidizedLoop,0.33146698757089366,0.7653430401842,0.7653430401841997,0.6101425067473697,3.0,0.6811820444522074,0.2621519892691965,0.38927227101631123,0.5765305344428647,4.606201621298232,0.3374877575497068,0.6713844334203812,62.5,5.873051308612082,0.00013877345422490868,4.715569692878088,1,1,c26-OxidizedLoop^3+,ok,1,1,0.7653430401842,0.7653430401842,0.7653430401841997,4.715569692878088,3.0,0.4253880818017321,0.0,1
RE3,3,c,33,2,c33^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c33-OxidizedLoop^2+ | -16.6 ppm | score=0.396 | css=0.826 | %H=37 | %2H=0 | +mix,-OxidizedLoop,0.3961287291721666,0.8262063715334566,0.5023064213971835,0.6359291965443781,10.0,0.6530768140366351,0.0,0.7416395339858209,1.1580260446432824,11.89730149673797,0.4199211249667977,0.3373974526938117,41.17647058823529,12.48397237360611,0.00025412416572220126,16.632728734996356,1,1,c33-OxidizedLoop^2+,ok,1,1,0.8457823207973817,0.8457823207973817,0.8359110024899996,16.632728734996356,9.0,0.21157237715794355,0.0,1
RE3,3,c,35,3,c35^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c35-OxidizedLoop^3+ | 3.3 ppm | score=0.234 | css=0.738 | %H=58 | %2H=42 | +mix,-OxidizedLoop,0.2342581732979392,0.7381648652108478,0.4346033937323897,0.3938819629211945,6.0,0.6058783436367768,0.28142316272059387,0.5207978947674503,0.4407204890805104,11.12727123655236,0.18607615430874622,0.3157236470913593,64.70588235294117,10.626423650566418,7.340385341896487e-05,3.3000703945034795,1,1,c35-OxidizedLoop^3+,failed_isodec_rules,0,0,,0.5142584095977967,0.6232080811913249,4.411928791670906,5.0,0.19288361617217317,0.0,1
RE3,3,c,36,2,c36^2+,1,fn_missed,1,0,1,1,1,"[""c36 2+""]",1.739,54.39,8.0,2.787,2.4,trace_only,isodec_rules,c36-OxidizedLoop^2+,-OxidizedLoop,,0.6868422916899419,0.6825601221261062,,,,,,,,,,,,,20.932320593525365,0,0,c36-OxidizedLoop^2+,failed_isodec_rules,0,0,,0.6868422916899419,0.6825601221261062,20.932320593525365,9.0,0.15432552946118677,1.0,1
RE3,3,c,36,3,c36^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c36-OxidizedLoop^3+ | -4.3 ppm | score=0.622 | css=0.840,-OxidizedLoop,0.6222224884058151,0.8397194655228317,0.8778602248572369,1.0,9.0,0.6137807868390839,0.0,0.48011956245230214,0.9632939501668188,5.995349660465749,0.6815534762914732,0.7345022144376359,0.0,3.5297050660780793,0.0002319607102380053,4.2666532993485875,1,1,c36-OxidizedLoop^3+,ok,1,1,0.8397194655228317,0.8397194655228317,0.8778602248572369,4.2666532993485875,9.0,0.35186828534684306,1.0,1
